model,series,horizon,n,mae,rmse,smape,mase
weekly_naive,bocconi,24,241,639.8249552240015,871.3091805747027,63.18851701405808,1.2027924700251165
weekly_naive,business,1,241,2505.057448517732,3135.8788132343766,57.47701300171653,2.4379927093723546
weekly_naive,business,6,241,2501.0734761978088,3135.2937327058125,57.53274091818174,2.434115394911538
weekly_naive,business,24,241,2467.321779369813,3123.9437391906326,57.91050034912977,2.401267289633837
weekly_naive,business-2,1,241,3433.608134162871,5281.090953710284,54.34442815277841,1.9304824590283607
weekly_naive,business-2,6,241,3428.531081963377,5280.807410837105,54.281799226176176,1.9276279806395262
weekly_naive,business-2,24,241,3336.039239274021,5228.360768199676,56.187364131554894,1.875626158376094
weekly_naive,duomo,1,241,1287.878555487795,2040.4444816543507,44.30648406957312,2.0075600320013094
weekly_naive,duomo,6,241,1268.2973812625617,2017.503609625739,44.330982446882366,1.9770366704725948
weekly_naive,duomo,24,241,1294.285734691066,2039.533627685548,46.03389000463396,2.0175476172682174
weekly_naive,mixed_suburban,1,241,1766.0508709033002,2086.047184732776,39.81093653631719,2.8571194731955054
weekly_naive,mixed_suburban,6,241,1764.7445225379279,2085.707906813036,39.848256026291615,2.855006061053774
weekly_naive,mixed_suburban,24,241,1778.946738342032,2088.9511519699777,40.993199422972815,2.8779824248748658
weekly_naive,mixed_suburban-2,1,241,1990.9464445628566,2354.242005950755,53.19500399500258,3.481666792726406
weekly_naive,mixed_suburban-2,6,241,1967.2726534135113,2346.938332745535,52.579736459432965,3.44026725999276
weekly_naive,mixed_suburban-2,24,241,1879.4114235525803,2306.3207921816975,51.414240437533124,3.286619969674978
weekly_naive,navigli,1,241,1197.0490345301964,1377.3519336209172,45.48568940384733,2.73851802441427
weekly_naive,navigli,6,241,1197.8543523891337,1377.9280564899154,45.789245519409796,2.7403603695550838
weekly_naive,navigli,24,241,1144.7736084490891,1345.1118113610626,44.95157824764253,2.6189262679970127
